epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,10653.4,0.18944,0.19271,0.1512,0.77816,0,0.99277,1,0.995,0.95808,0.97881,0.9875,0.99369,0.94473,0.25182,0.54583,0.18427,0.82452,0,0.00058175,0.00058175,0.00058175
56,10839.1,0.18162,0.19866,0.14673,0.76722,0,0.98913,1,0.995,0.95864,0.98298,0.99375,0.99446,0.94453,0.25058,0.48571,0.17745,0.82152,0,0.000569375,0.000569375,0.000569375
57,11020.6,0.18718,0.18788,0.15007,0.77815,0,0.9878,1,0.995,0.95781,0.98078,0.99292,0.98988,0.94257,0.26046,0.49081,0.1774,0.82762,0,0.000557,0.000557,0.000557
58,11211.9,0.18372,0.19598,0.14497,0.77243,0,0.99246,1,0.995,0.95979,0.97918,0.9947,0.99434,0.94763,0.23879,0.47634,0.17371,0.82117,0,0.000544625,0.000544625,0.000544625
59,11403,0.17652,0.18348,0.14217,0.77353,0,0.99237,1,0.995,0.95812,0.98262,0.99103,0.98957,0.95038,0.23937,0.45636,0.17212,0.818,0,0.00053225,0.00053225,0.00053225
60,11598.8,0.16916,0.18241,0.13782,0.7729,0,0.99127,1,0.995,0.95878,0.98456,0.99375,0.99453,0.94853,0.24202,0.47965,0.17061,0.82468,0,0.000519875,0.000519875,0.000519875
61,11786.1,0.16787,0.1748,0.13998,0.78016,0,0.99063,1,0.995,0.96213,0.98443,0.99375,0.99446,0.951,0.24073,0.48171,0.17528,0.82344,0,0.0005075,0.0005075,0.0005075
62,11982.9,0.16876,0.16946,0.13898,0.76998,0,0.99243,1,0.995,0.96157,0.989,0.9968,0.99488,0.94975,0.24115,0.47597,0.17159,0.82816,0,0.000495125,0.000495125,0.000495125
63,12167.6,0.1662,0.17484,0.13973,0.75974,0,0.99327,1,0.995,0.95924,0.98307,0.99117,0.99359,0.94817,0.24415,0.55711,0.16313,0.8306,0,0.00048275,0.00048275,0.00048275
64,12356.9,0.16598,0.17954,0.14107,0.76942,0,0.9959,1,0.995,0.95812,0.98386,0.98795,0.98919,0.9492,0.25033,0.53903,0.16253,0.82929,0,0.000470375,0.000470375,0.000470375
65,12548.2,0.16662,0.17331,0.13905,0.77692,0,0.99289,1,0.995,0.95959,0.98178,0.98778,0.98899,0.94253,0.25305,0.56658,0.16898,0.83298,0,0.000458,0.000458,0.000458
66,12742,0.17142,0.1703,0.14188,0.77141,0,0.99809,1,0.995,0.9577,0.98611,0.988,0.98969,0.95075,0.26169,0.59383,0.1839,0.83635,0,0.000445625,0.000445625,0.000445625
67,12928.2,0.17066,0.167,0.14298,0.77858,0,0.99247,1,0.995,0.95536,0.98054,0.98796,0.98938,0.945,0.26196,0.59348,0.17719,0.83504,0,0.00043325,0.00043325,0.00043325
68,13115.3,0.16638,0.16094,0.13754,0.77315,0,0.99093,1,0.995,0.95458,0.97882,0.98807,0.98938,0.94285,0.25436,0.5889,0.17241,0.82897,0,0.000420875,0.000420875,0.000420875
69,13297.2,0.16025,0.16087,0.13615,0.77497,0,0.98688,1,0.995,0.95915,0.97506,0.98788,0.99373,0.94754,0.25389,0.59331,0.17484,0.82955,0,0.0004085,0.0004085,0.0004085
70,13480.3,0.15461,0.16428,0.13286,0.76424,0,0.9967,1,0.995,0.95975,0.98471,0.98802,0.99383,0.94566,0.24456,0.55436,0.17988,0.82311,0,0.000396125,0.000396125,0.000396125
71,13673.2,0.15077,0.15846,0.13177,0.76599,0,0.99192,1,0.995,0.96432,0.98391,0.99375,0.99414,0.94787,0.22451,0.5081,0.16736,0.8183,0,0.00038375,0.00038375,0.00038375
72,13863.1,0.14685,0.15949,0.129,0.76979,0,0.99723,1,0.995,0.95657,0.98339,0.99338,0.9937,0.94755,0.22874,0.53929,0.17096,0.82087,0,0.000371375,0.000371375,0.000371375
73,14050.4,0.14518,0.15531,0.12829,0.76523,0,0.99321,1,0.995,0.95986,0.98121,0.98774,0.9934,0.94985,0.22663,0.55977,0.16513,0.8227,0,0.000359,0.000359,0.000359
74,14246.5,0.14006,0.1557,0.12498,0.76261,0,0.99123,1,0.995,0.96387,0.97962,0.98833,0.99414,0.95021,0.22489,0.55106,0.16556,0.82036,0,0.000346625,0.000346625,0.000346625
75,14433.4,0.14428,0.1535,0.12638,0.76726,0,0.99483,1,0.995,0.96178,0.98404,0.9892,0.99445,0.94802,0.22905,0.56609,0.17153,0.82013,0,0.00033425,0.00033425,0.00033425
76,14615.8,0.13793,0.15201,0.12279,0.77006,0,0.99154,1,0.995,0.96036,0.9796,0.98791,0.99433,0.94955,0.22756,0.57862,0.16607,0.82018,0,0.000321875,0.000321875,0.000321875
77,14805.5,0.1437,0.15524,0.12327,0.76371,0,0.99236,1,0.995,0.96221,0.97757,0.99505,0.99445,0.94657,0.22476,0.60073,0.15834,0.82191,0,0.0003095,0.0003095,0.0003095
78,14990.9,0.14381,0.15145,0.12272,0.75857,0,0.99703,1,0.995,0.95788,0.98473,0.98768,0.98988,0.94832,0.22206,0.57893,0.16143,0.82473,0,0.000297125,0.000297125,0.000297125
79,15179,0.139,0.14861,0.123,0.77221,0,0.99492,1,0.995,0.96393,0.97683,0.99568,0.99445,0.94974,0.22264,0.59845,0.15774,0.82258,0,0.00028475,0.00028475,0.00028475
80,15373.9,0.12849,0.14639,0.11562,0.76718,0,0.99245,1,0.995,0.96234,0.97477,0.99582,0.99445,0.94953,0.22383,0.58691,0.16536,0.82256,0,0.000272375,0.000272375,0.000272375
81,15561.4,0.12928,0.14425,0.11821,0.76804,0,0.99764,1,0.995,0.96089,0.98177,0.99566,0.99476,0.95092,0.2165,0.5772,0.15999,0.82051,0,0.00026,0.00026,0.00026
82,15752.6,0.12644,0.14302,0.11425,0.7649,0,0.99724,1,0.995,0.9584,0.98506,0.98778,0.99464,0.94755,0.22311,0.61381,0.16678,0.82292,0,0.000247625,0.000247625,0.000247625
83,15940.2,0.12617,0.14087,0.11587,0.76624,0,0.99362,1,0.995,0.96136,0.98198,0.98776,0.99464,0.94835,0.22131,0.60847,0.17047,0.82146,0,0.00023525,0.00023525,0.00023525
84,16132.3,0.12309,0.13863,0.11239,0.75987,0,0.99606,1,0.995,0.95994,0.9852,0.9889,0.99476,0.95083,0.22441,0.60571,0.16544,0.82321,0,0.000222875,0.000222875,0.000222875
85,16323.7,0.124,0.13797,0.11281,0.77307,0,0.99182,1,0.995,0.96041,0.97991,0.98788,0.99445,0.94958,0.21736,0.61613,0.1582,0.81985,0,0.0002105,0.0002105,0.0002105
